CustomerIndex,Geography,Gender,Age,AgeGroup,Balance,BalanceStatus,NumOfProducts,IsActiveMember,ActivityStatus,CreditScore,Tenure,EstimatedSalary,ChurnProbability,RiskScore,RiskLevel,CustomerValueScore,CustomerValueSegment,RetentionPriority,RecommendedAction
2217,Spain,Male,35,26-35,104832.49,Positive Balance,1,0,Inactive,666,2,175015.12,0.09769915,9.769915,Low,4650.549999999999,Medium Value,Monitor,Standard engagement
2218,Spain,Female,31,26-35,102289.85,Positive Balance,1,1,Active,733,9,115441.66,0.045976236,4.5976235999999995,Low,4514.05,Medium Value,Monitor,Standard engagement
2219,Germany,Female,34,26-35,125227.82,Positive Balance,2,1,Active,631,6,128247.03,0.088929124,8.8929124,Low,7315.449999999999,High Value,Monitor,Standard engagement
2220,Germany,Female,49,46-55,140510.89,Positive Balance,1,0,Inactive,714,5,141914.94,0.84070295,84.070295,Very High,6700.849999999999,High Value,Critical,Priority relationship outreach
2221,Germany,Female,35,26-35,132253.22,Positive Balance,1,0,Inactive,767,6,115566.57,0.45346838,45.346838,High,6281.549999999999,High Value,Critical,Priority relationship outreach
2222,Germany,Male,43,36-45,39043.29,Positive Balance,2,1,Active,711,2,175423.69,0.028247375,2.8247375000000003,Low,4764.65,Medium Value,Monitor,Standard engagement
2223,France,Male,34,26-35,0.0,Zero Balance,2,1,Active,722,8,133447.49,0.01097836,1.097836,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2224,Spain,Male,55,46-55,99685.06,Positive Balance,1,0,Inactive,631,9,114474.98,0.5846988,58.469879999999996,High,4383.849999999999,Medium Value,High,Re-engagement campaign
2225,Germany,Male,38,36-45,125385.49,Positive Balance,2,1,Active,701,3,52044.66,0.075731635,7.573163500000001,Low,7322.450000000001,High Value,Monitor,Standard engagement
2226,Spain,Male,46,46-55,131365.37,Positive Balance,2,1,Active,790,2,180290.68,0.1109634,11.09634,Low,7685.049999999999,High Value,Monitor,Standard engagement
2227,Spain,Male,58,56-65,98308.51,Positive Balance,1,1,Active,633,6,132034.13,0.1333233,13.33233,Low,4315.25,Medium Value,Monitor,Standard engagement
2228,France,Female,37,36-45,0.0,Zero Balance,2,0,Inactive,644,8,20968.88,0.03948023,3.9480229999999996,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2229,Spain,Male,44,36-45,140856.16,Positive Balance,2,0,Inactive,757,5,158735.1,0.098329954,9.8329954,Low,8162.449999999998,High Value,Monitor,Standard engagement
2230,France,Female,30,26-35,0.0,Zero Balance,2,1,Active,696,8,196134.44,0.008158139,0.8158139,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2231,France,Male,35,26-35,172274.01,Positive Balance,1,0,Inactive,746,2,22374.97,0.1756146,17.56146,Low,7573.049999999999,High Value,Monitor,Standard engagement
2232,Spain,Male,36,36-45,0.0,Zero Balance,2,0,Inactive,649,8,161668.15,0.020967582,2.0967582,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2233,Spain,Male,38,36-45,122447.76,Positive Balance,1,0,Inactive,565,0,67339.34,0.17648546,17.648546,Low,5689.349999999999,Medium Value,Monitor,Standard engagement
2234,France,Female,38,36-45,0.0,Zero Balance,2,1,Active,720,10,56229.72,0.04610515,4.6105149999999995,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2235,Spain,Female,56,56-65,157559.59,Positive Balance,2,0,Inactive,648,6,140991.23,0.88480455,88.480455,Very High,8761.65,High Value,Critical,Priority relationship outreach
2236,Germany,Male,41,36-45,126550.7,Positive Balance,1,0,Inactive,632,3,177644.52,0.5642595,56.42595,High,5942.049999999999,Medium Value,High,Re-engagement campaign
2237,France,Female,30,26-35,158584.82,Positive Balance,3,0,Inactive,622,2,142342.55,0.8964293,89.64292999999999,Very High,9513.849999999999,High Value,Critical,Priority relationship outreach
2238,France,Male,28,26-35,163569.61,Positive Balance,2,1,Active,835,2,154559.28,0.017635573,1.7635573000000002,Low,8872.95,High Value,Monitor,Standard engagement
2239,France,Female,31,26-35,0.0,Zero Balance,1,1,Active,493,3,176570.28,0.25136197,25.136197,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
2240,Germany,Female,33,26-35,127211.45,Positive Balance,1,0,Inactive,785,6,191961.83,0.54523605,54.523604999999996,High,5981.950000000001,High Value,Critical,Priority relationship outreach
2241,Germany,Male,42,36-45,118199.97,Positive Balance,2,0,Inactive,681,3,9452.88,0.13157329,13.157329,Low,6883.550000000001,High Value,Monitor,Standard engagement
2242,Germany,Female,30,26-35,101014.08,Positive Balance,2,1,Active,621,2,165257.31,0.04226907,4.226907,Low,5901.450000000001,Medium Value,Monitor,Standard engagement
2243,Spain,Male,38,36-45,119208.85,Positive Balance,1,0,Inactive,756,6,169763.89,0.18724063,18.724062999999997,Low,5491.95,Medium Value,Monitor,Standard engagement
2244,France,Female,66,66+,0.0,Zero Balance,2,1,Active,515,6,160663.11,0.046923447,4.6923447,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2245,France,Female,58,56-65,53772.73,Positive Balance,1,1,Active,625,10,192072.1,0.63117987,63.117987,Very High,3363.25,Low Value,High,Product engagement review
2246,Spain,Female,39,36-45,0.0,Zero Balance,2,0,Inactive,717,6,93275.61,0.05527999,5.527999,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2247,Germany,Female,41,36-45,138878.81,Positive Balance,1,1,Active,595,2,112269.67,0.28729013,28.729013,Moderate,6622.449999999999,High Value,Medium,Proactive engagement
2248,Spain,Female,37,36-45,130922.81,Positive Balance,2,0,Inactive,539,1,2186.83,0.10564201,10.564200999999999,Low,7662.65,High Value,Monitor,Standard engagement
2249,France,Male,35,26-35,0.0,Zero Balance,2,1,Active,762,9,43075.7,0.012858148,1.2858148,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2250,Spain,Male,20,18-25,0.0,Zero Balance,2,1,Active,706,8,12368.11,0.0056181927,0.56181927,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2251,Spain,Female,25,18-25,130866.19,Positive Balance,1,0,Inactive,677,8,42410.21,0.06582983,6.5829830000000005,Low,6210.150000000001,High Value,Monitor,Standard engagement
2252,Germany,Female,33,26-35,187257.94,Positive Balance,1,1,Active,733,7,190430.81,0.1175543,11.75543,Low,7699.049999999999,High Value,Monitor,Standard engagement
2253,Spain,Female,41,36-45,0.0,Zero Balance,1,1,Active,684,7,138394.37,0.23171818,23.171818,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
2254,France,Male,36,36-45,147733.64,Positive Balance,1,1,Active,679,6,172501.38,0.07855821,7.855821000000001,Low,6998.349999999999,High Value,Monitor,Standard engagement
2255,Spain,Male,43,36-45,0.0,Zero Balance,2,1,Active,478,1,197916.43,0.04969452,4.9694519999999995,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2256,France,Male,33,26-35,163139.27,Positive Balance,1,1,Active,696,2,7035.36,0.040416174,4.0416174,Low,7416.95,High Value,Monitor,Standard engagement
2257,Spain,Female,35,26-35,0.0,Zero Balance,2,1,Active,686,4,159676.55,0.021319076,2.1319076,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2258,France,Female,36,36-45,119540.15,Positive Balance,1,1,Active,466,5,80603.99,0.04299385,4.299385,Low,5506.65,Medium Value,Monitor,Standard engagement
2259,France,Female,41,36-45,129553.76,Positive Balance,2,0,Inactive,686,4,187599.8,0.08661752,8.661752,Low,7582.1500000000015,High Value,Monitor,Standard engagement
2260,France,Male,55,46-55,0.0,Zero Balance,2,1,Active,576,9,94450.97,0.05786147,5.786147,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2261,Germany,Female,61,56-65,66101.89,Positive Balance,1,1,Active,763,1,143981.27,0.3405779,34.05779,Moderate,3468.2499999999995,Low Value,Monitor,Monitor and engage
2262,France,Male,43,36-45,140431.98,Positive Balance,1,0,Inactive,572,2,26450.57,0.3939558,39.39558,High,6699.449999999999,High Value,Critical,Priority relationship outreach
2263,France,Female,49,46-55,0.0,Zero Balance,2,0,Inactive,757,2,164482.92,0.22840784,22.840784,Moderate,3480.1499999999996,Low Value,Monitor,Monitor and engage
2264,France,Female,29,26-35,0.0,Zero Balance,1,1,Active,582,0,84012.81,0.05008612,5.008611999999999,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
2265,France,Female,35,26-35,0.0,Zero Balance,2,0,Inactive,623,5,101192.08,0.037460998,3.7460998,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2266,Germany,Female,37,36-45,116471.43,Positive Balance,2,0,Inactive,617,4,175324.74,0.3238725,32.38725,Moderate,6784.15,High Value,Medium,Proactive engagement
2267,France,Male,39,36-45,0.0,Zero Balance,2,0,Inactive,425,4,197226.32,0.12753409,12.753409,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2268,France,Female,56,56-65,123785.24,Positive Balance,1,0,Inactive,659,9,99504.03,0.89425176,89.425176,Very High,5771.950000000001,Medium Value,High,Re-engagement campaign
2269,France,Female,33,26-35,0.0,Zero Balance,2,1,Active,605,4,83700.66,0.014330859,1.4330859,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2270,France,Female,38,36-45,88758.95,Positive Balance,2,0,Inactive,538,8,28226.15,0.15442398,15.442397999999999,Low,5394.65,Medium Value,Monitor,Standard engagement
2271,Germany,Male,25,18-25,153611.83,Positive Balance,2,0,Inactive,665,5,35321.65,0.021851849,2.1851849,Low,8656.65,High Value,Monitor,Standard engagement
2272,Germany,Female,57,56-65,112044.72,Positive Balance,1,1,Active,491,4,41229.73,0.6393934,63.93934,Very High,5070.549999999999,Medium Value,High,Product engagement review
2273,Spain,Female,27,26-35,123826.07,Positive Balance,1,1,Active,726,7,78970.58,0.056279052,5.627905200000001,Low,5776.149999999999,Medium Value,Monitor,Standard engagement
2274,France,Female,65,56-65,106804.26,Positive Balance,3,0,Inactive,580,9,107890.69,0.9946266,99.46266,Very High,6942.749999999999,High Value,Critical,Priority relationship outreach
2275,France,Female,48,46-55,0.0,Zero Balance,2,1,Active,550,6,191870.28,0.17717434,17.717434,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2276,France,Female,59,56-65,68892.77,Positive Balance,2,0,Inactive,542,2,7905.06,0.928691,92.8691,Very High,4948.75,Medium Value,High,Re-engagement campaign
2277,France,Female,43,36-45,0.0,Zero Balance,2,0,Inactive,732,6,65731.53,0.10652845,10.652845,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2278,France,Female,33,26-35,125827.43,Positive Balance,1,1,Active,473,5,145698.73,0.06277696,6.277696000000001,Low,5900.749999999999,Medium Value,Monitor,Standard engagement
2279,Spain,Male,34,26-35,0.0,Zero Balance,2,0,Inactive,745,9,50046.25,0.02344737,2.344737,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2280,France,Male,36,36-45,0.0,Zero Balance,2,1,Active,732,7,60830.24,0.015846811,1.5846810999999998,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2281,Germany,Female,40,36-45,148495.64,Positive Balance,1,0,Inactive,848,5,158853.98,0.4904269,49.04269,High,7030.549999999998,High Value,Critical,Priority relationship outreach
2282,France,Male,37,36-45,133043.66,Positive Balance,1,0,Inactive,572,1,111243.09,0.0891666,8.91666,Low,6324.249999999999,High Value,Monitor,Standard engagement
2283,France,Male,45,36-45,74989.58,Positive Balance,1,1,Active,702,9,171014.69,0.17388967,17.388967,Low,3591.45,Medium Value,Monitor,Standard engagement
2284,Germany,Male,39,36-45,60263.23,Positive Balance,1,0,Inactive,664,7,170835.32,0.15389135,15.389135000000001,Low,3405.2499999999995,Low Value,Monitor,Standard engagement
2285,Germany,Male,50,46-55,129370.91,Positive Balance,4,1,Active,630,3,47775.34,0.99017346,99.01734599999999,Very High,8348.949999999999,High Value,Critical,Priority relationship outreach
2286,Germany,Male,44,36-45,157955.83,Positive Balance,2,0,Inactive,618,5,139297.71,0.15844516,15.844516,Low,8774.25,High Value,Monitor,Standard engagement
2287,France,Male,26,26-35,0.0,Zero Balance,1,0,Inactive,556,4,195167.38,0.15599515,15.599515,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
2288,France,Female,30,26-35,70729.17,Positive Balance,1,1,Active,619,7,160948.87,0.097687274,9.768727400000001,Low,3523.5499999999993,Medium Value,Monitor,Standard engagement
2289,France,Male,48,46-55,0.0,Zero Balance,2,1,Active,644,8,44965.54,0.04664421,4.664421,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2290,Spain,Male,50,46-55,0.0,Zero Balance,2,0,Inactive,658,2,52137.73,0.12977909,12.977909000000002,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2291,Spain,Male,27,26-35,90721.52,Positive Balance,2,0,Inactive,598,8,109296.18,0.04803164,4.803164,Low,5461.15,Medium Value,Monitor,Standard engagement
2292,France,Male,27,26-35,0.0,Zero Balance,2,1,Active,677,2,20092.89,0.005603148,0.5603148,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2293,Spain,Female,45,36-45,57784.22,Positive Balance,1,0,Inactive,689,0,197804.0,0.6363592,63.63592,Very High,3385.6499999999996,Low Value,High,Re-engagement campaign
2294,France,Male,33,26-35,131765.72,Positive Balance,1,0,Inactive,591,9,118782.06,0.07272346,7.272346000000001,Low,6255.65,High Value,Monitor,Standard engagement
2295,France,Male,40,36-45,0.0,Zero Balance,1,1,Active,699,7,152876.13,0.1448082,14.48082,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
2296,Germany,Male,47,46-55,110022.74,Positive Balance,1,1,Active,749,9,135655.29,0.7061644,70.61644,Very High,4954.349999999999,Medium Value,High,Product engagement review
2297,France,Female,40,36-45,131569.63,Positive Balance,1,1,Active,709,9,103970.58,0.11335106,11.335106,Low,6244.449999999999,High Value,Monitor,Standard engagement
2298,Germany,Male,61,56-65,164523.5,Positive Balance,2,1,Active,607,2,35786.76,0.060912073,6.0912073,Low,8891.849999999999,High Value,Monitor,Standard engagement
2299,Germany,Female,25,18-25,114330.95,Positive Balance,1,1,Active,650,2,25325.07,0.10803376,10.803376,Low,5201.45,Medium Value,Monitor,Standard engagement
2300,Spain,Female,45,36-45,135923.16,Positive Balance,1,0,Inactive,651,10,18732.84,0.3710116,37.10116,High,6471.249999999999,High Value,Critical,Priority relationship outreach
2301,France,Female,61,56-65,0.0,Zero Balance,2,1,Active,676,8,118522.73,0.040579874,4.0579874,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2302,France,Female,49,46-55,0.0,Zero Balance,2,1,Active,723,4,89972.25,0.09701394,9.701394,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2303,Spain,Male,45,36-45,124693.48,Positive Balance,1,1,Active,714,0,187194.15,0.115027755,11.5027755,Low,5839.15,Medium Value,Monitor,Standard engagement
2304,Spain,Female,35,26-35,147936.42,Positive Balance,1,1,Active,759,7,106785.7,0.070739366,7.0739366,Low,7006.75,High Value,Monitor,Standard engagement
2305,France,Male,29,26-35,0.0,Zero Balance,1,0,Inactive,582,0,142516.35,0.06499563,6.499563,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
2306,France,Female,34,26-35,126558.92,Positive Balance,1,0,Inactive,697,2,73334.43,0.12680508,12.680507999999998,Low,5942.75,Medium Value,Monitor,Standard engagement
2307,Germany,Male,57,56-65,106938.11,Positive Balance,2,1,Active,610,6,186612.47,0.46485433,46.485433,High,6224.849999999999,High Value,Critical,Priority relationship outreach
2308,Germany,Female,33,26-35,140002.35,Positive Balance,1,0,Inactive,488,4,123613.81,0.16614002,16.614002,Low,6679.15,High Value,Monitor,Standard engagement
2309,Germany,Male,46,46-55,123444.72,Positive Balance,1,1,Active,599,9,31368.08,0.60892534,60.892534,Very High,5750.950000000001,Medium Value,High,Product engagement review
2310,France,Male,32,26-35,147107.91,Positive Balance,1,1,Active,781,6,40066.95,0.041246336,4.1246336,Low,6975.949999999999,High Value,Monitor,Standard engagement
2311,France,Male,19,18-25,128514.84,Positive Balance,1,0,Inactive,645,9,175969.19,0.071729966,7.1729966,Low,6072.249999999999,High Value,Monitor,Standard engagement
2312,France,Female,55,46-55,0.0,Zero Balance,1,0,Inactive,545,5,10034.77,0.8837178,88.37178,Very High,2029.0500000000002,Low Value,High,Re-engagement campaign
2313,Germany,Female,40,36-45,106756.01,Positive Balance,2,0,Inactive,597,9,151167.94,0.31487688,31.487688000000002,Moderate,6212.25,High Value,Medium,Proactive engagement
2314,Spain,Female,28,26-35,0.0,Zero Balance,2,0,Inactive,561,3,191387.76,0.03275144,3.275144,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2315,France,Female,37,36-45,0.0,Zero Balance,2,0,Inactive,662,6,51229.17,0.058982406,5.8982406,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2316,Germany,Female,50,46-55,155393.32,Positive Balance,1,1,Active,649,5,87351.42,0.4591911,45.91911,High,7253.85,High Value,Critical,Priority relationship outreach
2317,France,Female,36,36-45,110414.48,Positive Balance,1,1,Active,630,2,48984.95,0.10080579,10.080579,Low,4973.95,Medium Value,Monitor,Standard engagement
2318,Spain,Male,33,26-35,0.0,Zero Balance,2,1,Active,672,2,182738.0,0.009291401,0.9291400999999999,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2319,Germany,Female,37,36-45,157098.52,Positive Balance,1,1,Active,636,9,153535.27,0.25518456,25.518456,Moderate,7300.750000000001,High Value,Medium,Proactive engagement
2320,Germany,Female,38,36-45,85626.6,Positive Balance,1,1,Active,593,5,125079.65,0.12129296,12.129296,Low,3857.4499999999994,Medium Value,Monitor,Standard engagement
2321,Germany,Male,45,36-45,93796.42,Positive Balance,2,1,Active,545,6,162321.26,0.24755786,24.755786,Moderate,5568.25,Medium Value,Monitor,Monitor and engage
2322,Spain,Female,41,36-45,0.0,Zero Balance,2,0,Inactive,567,1,3414.72,0.03812371,3.8123709999999997,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2323,France,Male,51,46-55,125268.03,Positive Balance,2,0,Inactive,583,6,165082.25,0.29865652,29.865651999999997,Moderate,7317.55,High Value,Medium,Proactive engagement
2324,France,Female,29,26-35,148143.84,Positive Balance,1,1,Active,681,2,52021.39,0.07670917,7.670916999999999,Low,7016.549999999999,High Value,Monitor,Standard engagement
2325,Spain,Male,29,26-35,115545.33,Positive Balance,2,0,Inactive,762,10,148256.43,0.04636278,4.636278,Low,6730.249999999999,High Value,Monitor,Standard engagement
2326,Spain,Male,35,26-35,0.0,Zero Balance,2,0,Inactive,648,7,122899.01,0.01600688,1.600688,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2327,France,Male,30,26-35,44928.88,Positive Balance,1,1,Active,644,5,10771.46,0.06387597,6.387597,Low,3329.65,Low Value,Monitor,Standard engagement
2328,Spain,Male,29,26-35,0.0,Zero Balance,2,1,Active,706,2,18255.51,0.009629791,0.9629791000000001,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2329,France,Male,35,26-35,162442.35,Positive Balance,1,0,Inactive,850,3,183566.78,0.08898001,8.898001,Low,7406.45,High Value,Monitor,Standard engagement
2330,Spain,Female,39,36-45,0.0,Zero Balance,2,1,Active,484,5,175224.12,0.08352304,8.352304,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2331,Germany,Male,28,26-35,96213.82,Positive Balance,2,0,Inactive,508,0,147913.56,0.041446205,4.1446205,Low,5667.65,Medium Value,Monitor,Standard engagement
2332,France,Female,29,26-35,156569.43,Positive Balance,1,0,Inactive,439,6,180598.66,0.17183629,17.183629,Low,7287.45,High Value,Monitor,Standard engagement
2333,Spain,Male,36,36-45,0.0,Zero Balance,2,0,Inactive,484,8,186136.48,0.03620447,3.6204470000000004,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2334,Spain,Female,37,36-45,0.0,Zero Balance,2,0,Inactive,803,1,7455.2,0.039604057,3.9604057,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2335,Germany,Female,48,46-55,110463.25,Positive Balance,2,1,Active,724,6,80552.11,0.40391,40.391,High,6425.750000000001,High Value,Critical,Priority relationship outreach
2336,France,Male,33,26-35,154575.76,Positive Balance,1,0,Inactive,640,7,25722.28,0.0923619,9.23619,Low,7231.45,High Value,Monitor,Standard engagement
2337,Spain,Female,35,26-35,0.0,Zero Balance,2,0,Inactive,701,9,170996.86,0.058354195,5.8354194999999995,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2338,France,Male,37,36-45,0.0,Zero Balance,2,1,Active,537,3,20603.32,0.016119156,1.6119156,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2339,Germany,Male,26,26-35,147037.32,Positive Balance,1,0,Inactive,651,5,141763.26,0.15556857,15.556856999999999,Low,6973.8499999999985,High Value,Monitor,Standard engagement
2340,Germany,Male,41,36-45,119276.31,Positive Balance,1,0,Inactive,523,0,122284.38,0.6770525,67.70524999999999,Very High,5494.049999999999,Medium Value,High,Re-engagement campaign
2341,France,Female,25,18-25,108664.85,Positive Balance,2,0,Inactive,717,7,190011.85,0.02120334,2.120334,Low,6326.35,High Value,Monitor,Standard engagement
2342,Spain,Male,44,36-45,0.0,Zero Balance,1,0,Inactive,593,5,128046.98,0.47734657,47.734657000000006,High,2029.0500000000002,Low Value,Medium,Re-engagement campaign
2343,Germany,Male,38,36-45,163034.82,Positive Balance,2,1,Active,706,5,135662.17,0.027007766,2.7007765999999997,Low,8865.95,High Value,Monitor,Standard engagement
2344,Germany,Female,49,46-55,93059.34,Positive Balance,1,0,Inactive,714,4,7571.51,0.8457823,84.57823,Very High,4096.849999999999,Medium Value,High,Re-engagement campaign
2345,Spain,Male,38,36-45,179581.31,Positive Balance,1,0,Inactive,794,9,23596.24,0.34203836,34.203835999999995,Moderate,7647.25,High Value,Medium,Proactive engagement
2346,Germany,Male,46,46-55,113625.93,Positive Balance,1,0,Inactive,518,4,92727.42,0.8296656,82.96656,Very High,5156.650000000001,Medium Value,High,Re-engagement campaign
2347,Germany,Male,55,46-55,119961.48,Positive Balance,1,0,Inactive,589,7,65156.83,0.9013974,90.13974,Very High,5534.65,Medium Value,High,Re-engagement campaign
2348,France,Male,45,36-45,129209.48,Positive Balance,1,0,Inactive,824,3,60151.77,0.26313254,26.313254000000004,Moderate,6110.049999999999,High Value,Medium,Proactive engagement
2349,Germany,Female,42,36-45,137227.04,Positive Balance,3,0,Inactive,719,5,149097.38,0.97702163,97.702163,Very High,8704.650000000001,High Value,Critical,Priority relationship outreach
2350,Germany,Female,58,56-65,119024.75,Positive Balance,2,0,Inactive,617,3,35199.24,0.8989153,89.89153,Very High,6937.45,High Value,Critical,Priority relationship outreach
2351,France,Male,35,26-35,74623.5,Positive Balance,3,0,Inactive,651,7,129451.29,0.77043194,77.043194,Very High,5765.35,Medium Value,High,Re-engagement campaign
2352,Spain,Female,45,36-45,157929.45,Positive Balance,1,1,Active,637,2,145134.49,0.38458225,38.458225,High,7322.449999999999,High Value,Critical,Priority relationship outreach
2353,France,Female,26,26-35,92606.86,Positive Balance,2,0,Inactive,554,7,192709.69,0.037186485,3.7186485,Low,5529.049999999999,Medium Value,Monitor,Standard engagement
2354,Germany,Male,35,26-35,127862.93,Positive Balance,2,0,Inactive,731,2,139083.7,0.09867004,9.867004,Low,7482.75,High Value,Monitor,Standard engagement
2355,Spain,Female,42,36-45,0.0,Zero Balance,1,1,Active,569,1,83629.6,0.22960702,22.960701999999998,Moderate,2029.0500000000002,Low Value,Monitor,Monitor and engage
2356,Germany,Female,37,36-45,142711.81,Positive Balance,1,0,Inactive,625,4,35625.41,0.39292157,39.292157,High,6797.449999999999,High Value,Critical,Priority relationship outreach
2357,France,Female,38,36-45,0.0,Zero Balance,2,0,Inactive,592,4,35338.96,0.034303874,3.4303874,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2358,France,Male,43,36-45,163159.85,Positive Balance,1,1,Active,669,1,15602.8,0.12527291,12.527290999999998,Low,7418.349999999999,High Value,Monitor,Standard engagement
2359,Germany,Male,32,26-35,108586.86,Positive Balance,1,1,Active,663,3,182355.21,0.24730718,24.730718,Moderate,4871.749999999999,Medium Value,Monitor,Monitor and engage
2360,Germany,Female,41,36-45,110624.99,Positive Balance,1,0,Inactive,518,5,89327.67,0.4499292,44.99292,High,4983.75,Medium Value,High,Re-engagement campaign
2361,Germany,Female,43,36-45,154846.24,Positive Balance,2,1,Active,686,5,151903.6,0.12892555,12.892555,Low,8689.55,High Value,Monitor,Standard engagement
2362,Germany,Male,45,36-45,122917.71,Positive Balance,1,1,Active,709,4,11.58,0.56762105,56.762105,High,5718.05,Medium Value,High,Product engagement review
2363,France,Female,33,26-35,0.0,Zero Balance,2,1,Active,571,9,77519.62,0.011240118,1.1240118000000001,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2364,France,Female,31,26-35,82787.93,Positive Balance,2,0,Inactive,707,2,91423.69,0.038607992,3.8607992,Low,5232.250000000001,Medium Value,Monitor,Standard engagement
2365,Germany,Male,32,26-35,102500.34,Positive Balance,1,0,Inactive,701,5,106287.77,0.15610293,15.610293,Low,4522.449999999999,Medium Value,Monitor,Standard engagement
2366,France,Male,34,26-35,0.0,Zero Balance,2,0,Inactive,672,9,161800.77,0.00790728,0.7907279999999999,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2367,Germany,Male,39,36-45,159492.79,Positive Balance,1,0,Inactive,620,9,80582.34,0.28146058,28.146058,Moderate,7349.049999999999,High Value,Medium,Proactive engagement
2368,Spain,Male,48,46-55,0.0,Zero Balance,2,1,Active,557,10,185094.48,0.07016604,7.016604,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2369,Spain,Female,54,46-55,118241.02,Positive Balance,1,0,Inactive,648,7,172586.89,0.72805595,72.805595,Very High,5437.35,Medium Value,High,Re-engagement campaign
2370,France,Female,35,26-35,113090.4,Positive Balance,1,0,Inactive,479,2,195649.79,0.1919221,19.192210000000003,Low,5127.95,Medium Value,Monitor,Standard engagement
2371,France,Female,22,18-25,65763.57,Positive Balance,1,1,Active,730,9,145792.01,0.13247856,13.247855999999999,Low,3463.35,Low Value,Monitor,Standard engagement
2372,Germany,Female,43,36-45,125537.38,Positive Balance,1,0,Inactive,737,1,138510.01,0.71254516,71.254516,Very High,5885.3499999999985,Medium Value,High,Re-engagement campaign
2373,France,Male,31,26-35,94263.91,Positive Balance,2,0,Inactive,616,3,168895.06,0.051542267,5.154226700000001,Low,5586.450000000001,Medium Value,Monitor,Standard engagement
2374,Spain,Male,29,26-35,133434.57,Positive Balance,2,0,Inactive,639,4,97983.44,0.041597243,4.1597243,Low,7795.650000000001,High Value,Monitor,Standard engagement
2375,Spain,Female,39,36-45,0.0,Zero Balance,1,1,Active,815,6,85167.88,0.15464208,15.464208,Low,2029.0500000000002,Low Value,Monitor,Standard engagement
2376,Spain,Male,31,26-35,0.0,Zero Balance,2,1,Active,786,9,18210.36,0.0074332864,0.74332864,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2377,France,Male,50,46-55,94748.76,Positive Balance,2,1,Active,549,9,13608.18,0.23553555,23.553555,Moderate,5601.849999999999,Medium Value,Monitor,Monitor and engage
2378,France,Female,38,36-45,98640.74,Positive Balance,1,1,Active,622,4,110457.99,0.09683362,9.683361999999999,Low,4333.45,Medium Value,Monitor,Standard engagement
2379,France,Male,26,26-35,74681.9,Positive Balance,2,0,Inactive,624,9,31231.35,0.015240246,1.5240246000000002,Low,5037.65,Medium Value,Monitor,Standard engagement
2380,France,Male,34,26-35,0.0,Zero Balance,2,0,Inactive,841,4,141582.66,0.008938208,0.8938208,Low,3480.1499999999996,Low Value,Monitor,Standard engagement
2381,Spain,Female,41,36-45,179915.85,Positive Balance,1,0,Inactive,614,7,14666.35,0.51490355,51.490355,High,7650.049999999999,High Value,Critical,Priority relationship outreach
